species_id,scientific_name,image_url,vegetable,edible,rank
146143,Juncus articulatus,https://bs.floristic.org/image/o/429310663d8df4acffe98bed1329ce20c73ce0b4,False,False,species
240413,Pilosella officinarum,https://bs.floristic.org/image/o/44e695a74c98dbaff809fe95fd4bdb3a3874aa12,False,False,species
183001,Sonchus asper,https://bs.floristic.org/image/o/f6f9adb63613db1d051e538d45da46e09961f77a,False,False,species
138538,Galium mollugo,https://bs.floristic.org/image/o/8d555fb455adba7381812cfc29949d4f8fe84bde,False,False,species
103485,Alliaria petiolata,https://bs.floristic.org/image/o/7e341ea69524e37704b810729f3deaf5bb5b78e6,False,False,species
191900,Vicia sepium,https://bs.floristic.org/image/o/b4959dd4c15678a9fece3bd6479ec6e64b5d674b,False,False,species
173698,Ranunculus flammula,https://bs.floristic.org/image/o/f4700b09f10a423a402f2df4258b4d7f16042593,False,False,species
112319,Brachypodium sylvaticum,https://bs.floristic.org/image/o/a7f2725878c465176a128228271ba1a9be4de01c,False,False,species
161302,Oxalis acetosella,https://bs.floristic.org/image/o/424efba60855007d061a6690606401ab93647142,False,False,species
138326,Galeopsis tetrahit,https://bs.floristic.org/image/o/6bf9985e37c0eaafdd9ef7c74ea604906a89c265,False,False,species
183005,Sonchus oleraceus,https://bs.floristic.org/image/o/49ba032457f362e71cc241d0c795bcf4ed679916,False,False,species
151835,Lotus pedunculatus,https://bs.floristic.org/image/o/22955054e2a90e0a66ff3421ddba0512b5b8b243,False,False,species
241080,Solidago virgaurea,https://bs.floristic.org/image/o/ff6b69e204c486aa86cfce2607888c548688459d,False,False,species
126932,Cytisus scoparius,https://bs.floristic.org/image/o/877219c71e1ddda68df3f54b28ff4f833f046eaf,False,False,species
167074,Pinus pinea,https://bs.floristic.org/image/o/99ce473b2c8a60a3491bfde8d15345449e8feb92,False,False,species
148561,Scorzoneroides autumnalis,https://bs.floristic.org/image/o/20373e31604e4cbbe42e3b984fd9abded5c4e952,False,False,species
167073,Pinus pinaster,https://bs.floristic.org/image/o/ac5c0cd692b6b87b468af909339bae3c84178963,False,False,species
191704,Viburnum opulus,https://bs.floristic.org/image/o/bd5764f91ee1df0d01ad535859136381cee4ecbc,False,False,species
191461,Veronica officinalis,https://bs.floristic.org/image/o/831ae89f88bde8cc033a012271f0e61af7e04ae5,False,False,species
1235213,Acer platanoides,https://d2seqvvyy3b8p2.cloudfront.net/d07382709196c9b7b156a5f9cdde0ff1.jpg,False,False,species
184111,Stachys sylvatica,https://bs.floristic.org/image/o/86d0fd391d9ae9eee1a62375bad3eb7bbd4c9f8f,False,False,species
181787,Silene dioica,https://bs.floristic.org/image/o/098f3b0f1f7d0f45ad749f5be3591affa58dde1a,False,False,species
158107,Myosotis scorpioides,https://bs.floristic.org/image/o/abd331b715ef4e7ce80427ea1ee133ac018ee29c,False,False,species
135887,Euonymus europaeus,https://bs.floristic.org/image/o/95892377fdf508b28e76c8c3cfc006a3b06af9bd,False,False,species
170983,Primula veris,https://bs.floristic.org/image/o/49c9e9a16d895b99a0ee1532d39f0d80af7dc588,False,False,species
130486,Dryopteris carthusiana,https://bs.floristic.org/image/o/ae906354361dc021c877221fb8d80714c65cc311,False,False,species
185303,Succisa pratensis,https://bs.floristic.org/image/o/16351e269334d4099c0b4f4d9dc80c1a6815fcfc,False,False,species
146801,Knautia arvensis,https://bs.floristic.org/image/o/a4130c3239340494b29d8ed199aef3200fd19a30,False,False,species
168693,Poa nemoralis,https://bs.floristic.org/image/o/3f74b558fcfa16295e1247d370ae0fbfdb9f478d,False,False,species
186373,Tanacetum vulgare,https://bs.floristic.org/image/o/72942c462e5810a24bf26045353774ab58448b78,False,False,species
132850,Equisetum fluviatile,https://bs.floristic.org/image/o/610572c5cea2ad094b199c8b5f90e2bece9b2553,False,False,species
136924,Festuca ovina,https://bs.floristic.org/image/o/543c327ab3180f3e6acad5890ced91d902cd5cea,False,False,species
193519,Zea mays,https://bs.floristic.org/image/o/70d678aabeca1e2751d751537e0289fbbfcfbed1,False,False,species
166916,Pimpinella saxifraga,https://bs.floristic.org/image/o/081c6b5e29c9ca0408bd8ad091133038a4ad1044,False,False,species
112718,Briza media,https://bs.floristic.org/image/o/0edc7e93ce5b765fc949b09394f73c124bd4717a,False,False,species
714767,Luzula lutea,https://bs.floristic.org/image/o/fa28c09778406733475f31a1bfd0a1a7fb7b4b10,False,False,species
191473,Veronica persica,https://bs.floristic.org/image/o/edaee2c6b361e4e9d3d78e08995761ca4393e007,False,False,species
190999,Valeriana officinalis,https://bs.floristic.org/image/o/a1bc61a2a31a4b9e098de3042ccf91cc2cdee0ed,False,False,species
121791,Clematis vitalba,https://bs.floristic.org/image/o/f4b6c4aace5217ad1fdde6a16ec7b5b4a85a8a7f,False,False,species
191438,Veronica arvensis,https://bs.floristic.org/image/o/8a56829d8e3fed4b9c26ff44b666cd8dc56c421c,False,False,species
122813,Erigeron canadensis,https://bs.floristic.org/image/o/86eb5d75c66e9900e6c73d5ca8973dc139d6a3df,False,False,species
104781,Lysimachia arvensis,https://bs.floristic.org/image/o/4f95247431a5c7c5d75bd84998aa0c8911056ce1,False,False,species
162288,Papaver rhoeas,https://bs.floristic.org/image/o/46c4e3e8eac90f24adff61f07c8e4dc637d6bfaa,False,False,species
176071,Rubus caesius,https://bs.floristic.org/image/o/84267f371cd5a2d4bb9493437c54c2ed7945d248,False,False,species
186403,Taraxacum officinale,https://d2seqvvyy3b8p2.cloudfront.net/ceba929282b92a29f19b233080ac74d4.jpg,True,True,species
147263,Lamium galeobdolon,https://bs.floristic.org/image/o/e3f4934668a5b23f5a3d408f2595dca1a3b9ba99,False,False,species
143077,Holcus mollis,https://bs.floristic.org/image/o/d14abc0a0d3062e5e1ced1a9a4270ae490244511,False,False,species
158446,Nardus stricta,https://bs.floristic.org/image/o/2e76e4226c9462d6739dc033eb1fbb391b4a92fd,False,False,species
132871,Equisetum palustre,https://bs.floristic.org/image/o/0c9a9c70d026c44e6e96ff0eb7c47e6fe2407b51,False,False,species
126213,Cynosurus cristatus,https://bs.floristic.org/image/o/d1e1baf120f778b0f360b4bc78474f1d0a8f5d73,False,False,species
165409,Phaseolus vulgaris,https://bs.floristic.org/image/o/46b23b23e98319531962424fb9d88a4656610a0b,True,True,species
134787,Eriophorum angustifolium,https://bs.floristic.org/image/o/1a9e5e5f7c560b98197e01bea3b969a2bfec9661,False,False,species
942902,Linaria saxatilis,https://bs.floristic.org/image/o/edff32fc2bf63b7b4098cfd088515ede32870ec5,False,False,species
130503,Dryopteris dilatata,https://d2seqvvyy3b8p2.cloudfront.net/29a9012d99358a66c0ec901fbf6fe731.jpg,False,False,species
186048,Symphytum officinale,https://bs.floristic.org/image/o/accc73a55618151e146e09e0f002f736bcc542f9,False,False,species
154865,Matricaria discoidea,https://bs.floristic.org/image/o/d65ee11c213cec3b40d8da93a1dbad7285a60ced,False,False,species
173319,Quercus petraea,https://bs.floristic.org/image/o/d6e87a3672c022443d3f72a9457ab658155c2ed3,False,False,species
190891,Vaccinium vitis-idaea,https://bs.floristic.org/image/o/4b74f7a694456a0297589e393db4dc35753cb5e2,False,False,species
180145,Scolochloa festucacea,https://d2seqvvyy3b8p2.cloudfront.net/e43d68b4a761ec896c9f51d4ee4672a5.jpg,False,False,species
173646,Ranunculus bulbosus,https://bs.floristic.org/image/o/a905a16ddae6a7e27460260d30b59c84359c0f5b,False,False,species
116451,Carex hirta,https://bs.floristic.org/image/o/a9ad6668aa5786927fcc31d7d80491927edda611,False,False,species
187099,Teucrium scorodonia,https://bs.floristic.org/image/o/6aa47d0493de0be013968af8a37de725689b7238,False,False,species
146159,Juncus bufonius,https://bs.floristic.org/image/o/8f50df8a7970cae2d20a9731738f5de38f2cf2f8,False,False,species
134907,Erodium cicutarium,https://bs.floristic.org/image/o/2bfdd76139914cb68159ea04db792cfcf4b01bf5,False,False,species
